CM,reading Right,fitted Right,error Right
30.11459513,3950,29.388963841975055,-0.725631288024946
40.1527935,3190,41.14125886440888,0.9884653644088814
50.19099188,2375,51.32712650921894,1.1361346292189438
60.22919025,1899,58.88576586535055,-1.3434243846494525
70.26738863,1527,69.87881256966284,-0.38857606033715797
80.305587,1341,79.49864081223132,-0.8069461877686877
90.34378538,1215,88.87276548369846,-1.4710198963015415
100.3819838,1083,102.49831656333481,2.1163327633348104
110.4201821,1025,110.18082330618199,-0.23935879381801328
120.4583805,950,122.15180629851238,1.6934257985123793
130.4965789,896,132.52994012323688,2.0333612232368807
140.5347773,857,141.1402442572071,0.605466957207085
150.5729756,833,146.97474547452293,-3.598230125477073
