CM,reading Left,reading Right
30.11459513,3139,3950
40.1527935,2313,3190
50.19099188,1811,2375
60.22919025,1345,1899
70.26738863,1063,1527
80.305587,895,1341
90.34378538,713,1215
100.3819838,695,1083
110.4201821,655,1025
120.4583805,615,950
130.4965789,561,896
140.5347773,529,857
150.5729756,509,833
