time,leftEncoderCount,rightEncoderCount
4935,6.65,1.51
4936,6.65,1.51
4937,6.65,1.51
4938,6.65,1.54
4939,6.65,1.64
4940,6.65,1.83
4941,6.68,2.03
4942,6.78,2.24
4943,7.07,2.43
4944,7.46,2.63
4945,7.82,2.89
4946,8.14,3.13
4948,8.50,3.55
4949,8.76,3.91
4950,9.10,4.33
4951,9.65,4.77
4952,10.12,5.24
4953,10.59,5.68
4954,11.03,6.05
4955,11.55,6.42
4956,12.10,6.86
4957,13.01,7.61
4959,13.98,8.06
4960,15.02,8.92
4962,16.12,9.81
4963,17.32,10.74
4965,18.52,11.58
4967,19.66,12.44
4968,20.91,13.51
4970,22.27,14.13
4972,23.55,15.26
4973,24.88,16.30
4975,26.10,17.32
4977,27.36,18.31
4978,28.58,19.30
4980,29.83,20.63
4982,31.11,21.49
4983,32.44,22.74
4985,33.95,23.91
4986,35.62,25.03
4988,37.37,26.13
4990,39.04,27.25
4991,41.02,28.76
4993,42.35,29.83
4995,44.02,31.24
4996,45.69,32.62
4998,47.33,33.87
5000,48.95,35.07
5001,50.54,36.27
5003,52.29,37.55
5005,53.75,38.62
5006,55.39,39.82
5008,57.11,41.20
5010,58.70,42.58
5011,60.19,43.97
5013,61.57,45.32
5014,63.06,46.65
5016,64.46,48.01
5018,65.95,49.42
5019,67.38,50.64
5021,68.87,51.97
5023,70.54,53.43
5024,71.92,54.71
5026,73.49,56.15
5028,75.08,57.55
5029,76.67,58.88
5031,78.26,60.14
5033,79.85,61.49
5034,81.47,62.82
5036,83.06,64.96
5038,84.57,65.90
5039,86.08,67.49
5041,87.67,68.87
5042,89.45,70.18
5044,91.30,71.48
5046,93.23,72.86
5047,95.18,74.69
5049,97.14,75.91
5051,99.17,77.11
5052,101.13,78.23
5054,103.11,79.46
5056,104.99,81.13
5058,106.76,82.67
5059,108.56,83.84
5061,110.41,84.99
5063,112.16,86.50
5065,114.01,87.78
5066,115.63,88.92
5068,117.11,90.23
5070,118.84,92.03
5072,120.71,93.07
5073,122.28,94.22
5075,124.00,95.44
5077,125.90,96.80
5078,127.75,98.16
5080,129.63,99.38
5082,131.46,100.76
5084,133.28,102.12
5086,135.11,103.45
5087,136.96,104.91
5089,138.42,106.37
5091,139.85,107.99
5093,141.52,109.63
5095,142.83,110.93
5096,144.37,112.42
5098,146.09,113.93
5100,148.20,115.47
5102,150.49,116.85
5104,152.92,118.55
5106,154.22,119.49
5107,156.21,120.82
5109,158.06,122.28
5111,159.99,123.79
5113,161.76,125.30
5115,163.59,127.31
5117,165.72,128.30
5118,167.71,129.76
5120,169.56,131.17
5122,171.57,132.60
5124,173.44,134.07
5126,175.19,135.29
5128,176.91,136.88
5129,178.48,138.55
5131,180.01,140.09
5133,181.58,141.52
5135,183.01,142.80
5137,184.50,144.05
5138,186.19,145.54
5140,187.81,147.23
5142,189.64,149.03
5144,191.49,150.60
5146,193.34,152.08
5148,195.35,153.60
5149,197.28,155.11
5151,199.08,156.83
5153,201.35,158.50
5155,203.72,160.22
5157,206.04,161.63
5158,208.49,162.96
5160,210.99,164.84
5162,212.66,166.19
5164,214.75,167.68
5166,216.76,169.14
5168,218.64,170.76
5169,220.38,172.14
5171,222.13,173.68
5173,223.93,174.77
5175,225.57,176.31
5177,227.16,177.62
5179,228.81,179.02
5180,230.34,180.46
5182,231.93,181.97
5184,233.47,182.96
5186,234.96,184.37
5188,236.63,185.70
5189,238.45,186.98
5191,240.10,188.25
5193,241.95,189.79
5195,243.70,191.20
5197,245.55,192.56
5199,247.61,193.76
5200,249.56,195.27
5202,251.47,196.86
5204,253.55,198.06
5206,255.51,199.47
5208,257.44,200.85
5210,259.42,202.26
5211,261.12,203.82
5213,262.92,205.26
