time,leftEncoderCount,rightEncoderCount
8833,-40.99,-40.99
8878,-18.07,-17.47
8889,-7.88,-7.17
8900,2.11,2.11
8910,1.85,1.72
8921,-1.93,-1.70
8931,1.02,1.54
8942,8.27,8.71
9000,49.44,49.96
9017,60.16,60.53
9027,64.52,64.72
9037,69.42,69.86
9048,76.43,76.96
9110,24.93,25.66
9126,39.12,39.79
9137,47.51,47.57
9147,48.58,48.56
9209,84.86,85.43
9226,102.88,103.55
9236,112.92,112.99
9247,113.39,113.23
9309,145.04,145.93
9326,162.65,163.27
9336,171.23,171.28
9347,171.54,171.36
9410,203.54,204.14
9426,220.88,221.50
9437,230.19,230.29
9454,228.96,228.78
9512,255.33,256.00
9529,273.06,273.71
9545,281.69,281.77
9555,281.51,281.51
9619,331.68,332.28
9635,342.14,342.27
9645,344.38,344.59
9656,348.61,349.00
9719,403.32,403.97
9735,413.98,414.11
9745,413.02,412.94
9756,415.44,415.63
9766,420.92,421.34
9823,472.68,473.41
9840,482.91,483.01
9856,482.85,482.96
9867,486.64,487.05
9929,435.55,436.12
9945,451.64,452.37
9956,459.93,459.93
9966,460.32,460.35
10029,500.59,501.11
10045,515.03,515.61
10055,522.60,522.57
10066,522.83,522.86
10123,555.72,556.26
10140,572.20,572.87
10156,582.26,582.34
10167,581.53,581.43
10230,625.86,626.72
10246,641.20,641.75
10256,646.23,646.26
10267,645.66,645.76
10330,694.47,695.28
10346,707.12,707.28
10357,709.57,709.52
10374,710.64,710.85
10432,759.80,760.42
10449,769.03,769.19
10465,770.60,770.88
10475,777.14,777.61
10539,823.59,824.03
10555,834.02,834.28
10565,836.49,836.81
10576,842.60,843.01
10633,893.66,894.52
10650,905.23,905.13
10667,902.44,902.50
10677,904.17,904.50
10739,955.20,955.90
10756,967.09,967.25
10767,968.50,968.50
10777,969.23,969.44
10839,1019.74,1020.37
10856,1031.61,1031.76
10866,1032.62,1032.70
10877,1033.56,1033.77
10887,1038.07,1038.49
10949,987.61,988.34
10966,1005.06,1005.97
10977,1015.46,1015.52
10987,1016.33,1016.22
11049,1048.30,1048.97
11066,1065.90,1066.71
11076,1075.52,1075.60
11087,1075.60,1075.44
11150,1106.76,1107.44
11166,1124.89,1125.64
11177,1133.65,1133.73
11188,1134.27,1134.12
11251,1170.21,1171.02
11267,1187.53,1188.07
11284,1196.10,1196.18
11294,1195.97,1195.97
11353,1240.07,1240.67
11370,1252.07,1252.41
11386,1257.99,1258.17
11396,1260.28,1260.59
11459,1313.53,1314.24
11475,1325.01,1325.16
11485,1325.76,1325.79
11496,1325.76,1325.87
11506,1330.40,1330.72
11563,1380.71,1381.46
11580,1391.66,1391.64
11596,1390.33,1390.44
11606,1393.10,1393.38
11669,1445.88,1446.48
11686,1456.39,1456.46
11696,1457.77,1457.79
11706,1460.06,1460.35
11769,1408.22,1408.85
11785,1423.55,1424.36
11796,1433.18,1433.26
11806,1433.62,1433.28
11869,1466.32,1466.95
11886,1482.49,1483.35
11896,1492.45,1492.58
11907,1492.92,1492.76
11969,1525.13,1525.70
11986,1541.40,1542.18
11996,1551.41,1551.60
12007,1551.54,1551.44
12070,1582.97,1583.75
12086,1601.72,1602.21
12097,1610.87,1610.92
12108,1611.37,1611.18
12171,1644.28,1644.98
12187,1660.91,1661.51
12204,1670.04,1670.04
12214,1669.21,1669.36
12273,1713.98,1714.66
12289,1726.58,1726.79
12306,1729.13,1729.11
12317,1728.66,1728.82
12379,1776.39,1776.96
12395,1787.42,1787.65
12406,1790.31,1790.44
12416,1792.74,1793.02
12473,1841.61,1842.26
12490,1852.48,1852.51
12507,1852.48,1852.69
12517,1856.57,1856.91
12579,1910.40,1911.13
12596,1922.00,1922.08
12606,1921.69,1921.64
12616,1922.65,1922.65
12627,1927.95,1928.37
12689,1876.55,1877.28
12706,1892.77,1893.37
12716,1901.71,1901.84
12727,1902.24,1902.00
12789,1937.83,1938.43
12806,1953.50,1954.23
12816,1961.85,1962.03
12827,1962.37,1962.27
12890,1996.27,1996.90
12906,2011.55,2012.23
12917,2022.09,2022.17
12928,2022.30,2022.09
12990,2053.54,2054.16
13006,2070.28,2071.32
13017,2079.67,2079.67
13028,2080.01,2079.77
13090,2112.34,2113.00
13107,2130.42,2131.09
13118,2140.19,2140.51
