time,leftEncoderCount,rightEncoderCount
10055,30.09,-32.08
10056,30.09,-32.08
10057,30.09,-32.05
10058,30.09,-31.97
10059,30.12,-31.87
10060,30.12,-31.71
10061,30.12,-31.55
10062,30.15,-31.40
10063,30.35,-31.16
10064,30.75,-30.90
10065,31.21,-30.59
10066,31.74,-30.25
10068,32.65,-29.73
10070,33.33,-29.31
10071,34.06,-28.61
10073,35.02,-27.69
10075,36.46,-26.73
10077,37.79,-25.82
10079,39.17,-24.83
10081,40.39,-23.94
10082,41.62,-22.84
10084,42.98,-21.96
10086,44.31,-20.94
10088,45.71,-19.82
10090,47.25,-18.75
10091,49.21,-17.37
10093,50.46,-16.56
10095,51.84,-15.26
10097,53.28,-14.13
10099,54.82,-13.01
10101,56.28,-11.79
10102,57.79,-10.17
10104,59.33,-9.10
10106,60.76,-7.95
10108,62.56,-6.62
10109,64.28,-5.19
10111,65.92,-3.78
10113,67.88,-2.40
10115,69.34,-1.17
10116,71.01,0.47
10118,72.57,1.90
10120,74.11,3.26
10121,75.70,4.62
10123,77.22,5.92
10125,78.73,7.69
10127,80.19,8.68
10128,81.54,10.07
10130,82.93,11.58
10131,84.49,13.12
10133,86.08,14.63
10135,87.62,16.19
10137,89.79,17.78
10138,91.51,18.93
10140,93.38,20.31
10142,95.39,21.57
10143,97.43,22.95
10145,99.36,24.43
10147,101.44,26.05
10149,104.18,27.82
10151,105.72,28.87
10152,107.81,30.51
10154,109.94,32.34
10156,111.82,34.01
10158,113.99,35.91
10160,115.78,37.40
10162,117.64,39.01
10163,119.28,40.47
10165,121.08,41.88
10167,122.75,43.37
10169,124.91,45.43
10171,126.22,46.97
10172,127.83,48.84
10174,129.55,50.64
10176,131.14,52.49
10178,132.76,54.16
10180,134.53,55.78
10182,136.28,57.19
10183,138.06,58.62
10185,139.96,60.32
10187,141.68,62.64
10189,143.71,63.92
10191,145.64,65.35
10193,147.68,66.76
10194,150.02,68.35
10196,152.22,70.02
10198,154.20,71.35
10200,156.44,72.68
10202,158.50,74.43
10203,160.56,76.15
10206,162.49,77.06
10207,164.29,78.44
10209,166.19,80.01
10211,167.94,81.62
10213,169.69,83.08
10214,171.51,84.28
10216,173.16,85.77
10218,174.72,87.36
10220,176.42,88.95
10222,178.01,90.33
10224,179.68,91.79
10225,181.50,93.54
10227,182.88,94.82
10229,184.79,96.46
10231,186.72,98.00
10233,188.52,99.64
10234,190.63,101.42
10236,193.52,102.88
10238,195.40,104.00
10240,197.56,105.64
10242,199.62,107.28
10244,201.61,108.77
10246,203.48,110.00
10248,205.67,111.69
10250,207.45,113.46
10252,209.61,115.03
10254,211.54,116.65
10255,213.60,118.29
10257,215.58,119.93
10259,217.72,121.44
10261,219.63,122.98
10263,221.74,124.57
10265,223.64,126.06
10267,225.57,127.52
10269,227.48,129.14
10271,229.43,130.99
10273,231.39,132.79
10275,233.29,134.59
10276,235.14,136.31
10278,237.05,138.06
10280,238.92,139.75
10282,240.70,141.37
10284,242.44,142.85
10286,244.27,144.50
10288,246.15,146.11
10290,248.10,147.81
10292,250.11,149.48
10294,252.09,151.20
10296,254.05,152.97
10297,256.21,154.88
10299,258.27,156.75
10301,260.31,158.60
10303,262.26,160.46
10305,264.22,162.31
10307,266.38,164.13
10309,268.65,165.96
10311,270.92,167.65
10313,273.09,169.50
10315,275.15,171.90
10317,277.15,173.29
10318,279.11,175.06
10320,281.04,176.70
10322,282.92,178.40
10324,284.82,180.33
10326,286.70,182.44
10328,288.45,183.69
10330,290.06,185.31
10332,291.70,187.06
10334,293.50,188.70
10336,295.33,190.21
10338,297.16,191.80
10339,299.03,193.50
10341,300.96,194.98
10343,303.13,196.42
10345,305.47,198.06
10347,307.79,199.81
10349,310.45,202.00
10351,312.46,203.54
10353,314.73,205.13
10355,317.00,206.72
10357,319.24,208.62
10359,321.51,210.53
10360,323.86,212.19
10362,325.81,213.60
10364,327.77,215.53
10366,329.57,217.44
10368,331.37,219.42
10370,332.80,221.16
10372,334.52,222.91
10374,336.32,224.50
10376,338.02,225.83
10378,339.79,227.35
10380,341.64,229.17
10381,343.65,230.94
10383,345.71,232.59
10385,347.75,233.99
10387,349.81,235.48
10389,351.89,237.15
10391,353.95,238.87
10393,355.99,240.51
10395,357.97,242.11
10397,359.92,243.75
10399,361.80,245.18
10401,363.47,246.69
10402,365.27,248.36
10404,367.49,250.01
10406,369.68,251.68
10408,371.89,253.34
10410,373.98,255.14
10412,376.09,256.79
10414,378.10,258.43
10416,379.90,260.10
10418,381.78,261.90
10420,383.73,263.72
10422,385.66,265.55
10424,387.54,267.09
10425,389.47,268.70
10427,391.43,270.48
10429,393.30,272.54
10431,395.18,274.23
10433,397.01,275.54
10435,398.88,277.05
10437,400.81,278.82
10439,402.80,280.57
10441,404.78,282.11
10443,406.68,283.73
10445,408.66,285.52
10446,410.51,287.25
10448,412.44,289.31
10450,414.43,290.58
10452,416.43,292.20
10454,418.57,293.87
10456,420.79,295.67
10458,423.08,297.55
10460,425.33,299.53
10462,427.26,300.78
10464,429.66,302.47
10466,431.82,304.27
10467,433.96,305.97
10469,435.94,307.64
10471,438.37,309.83
10473,439.62,311.16
10475,441.47,313.04
10477,443.27,314.91
10479,445.07,316.30
10481,446.89,317.57
10483,449.14,319.63
10485,450.67,321.09
10487,452.42,322.76
10488,454.35,324.17
10490,456.39,326.05
10492,458.34,327.90
10494,460.38,329.88
10496,462.15,331.47
10498,463.97,333.17
10500,465.88,334.89
10502,467.83,336.56
10504,469.89,338.04
10506,472.01,339.61
10508,474.12,341.20
10509,476.39,342.79
10511,478.60,344.64
10513,480.79,346.47
10515,482.88,348.32
10517,485.10,350.12
10519,487.10,351.84
10521,489.09,353.33
10523,491.04,354.60
10525,492.95,356.14
10527,494.77,357.97
10529,496.47,359.66
10530,498.11,361.51
10532,499.67,363.21
10534,501.19,364.85
10536,502.86,366.57
10538,504.84,368.48
10540,506.85,370.25
10542,508.88,372.05
10544,510.89,373.88
10546,512.95,375.73
10548,515.01,377.68
10550,517.12,379.98
10552,519.28,381.26
10553,521.42,383.00
10555,523.72,385.01
10557,525.91,386.99
10560,528.49,389.13
10561,530.39,390.75
10563,532.58,391.92
10565,534.75,393.36
10567,536.76,395.10
10569,538.79,396.48
10571,540.77,397.87
10572,542.75,399.41
10574,544.66,400.81
10576,546.38,402.20
10578,548.05,403.53
10580,549.74,404.86
10582,551.36,406.21
10584,553.24,407.83
10586,554.44,408.85
10588,555.92,410.33
10590,557.38,411.66
10592,558.82,412.81
10593,560.28,414.04
10595,561.79,415.55
10597,563.07,416.75
10599,564.45,418.05
10601,566.02,419.33
10603,567.63,420.61
10605,569.20,421.94
10607,570.74,423.19
10609,572.17,424.31
10611,573.53,425.51
10613,574.99,426.81
10614,576.68,428.09
10616,578.38,429.39
10618,579.94,430.65
10620,581.40,431.64
10622,582.86,432.84
10624,584.40,434.09
10626,585.97,435.16
10628,587.53,436.23
10630,589.28,437.51
10632,590.87,438.70
10634,592.41,439.88
10635,594.00,440.97
10637,595.59,441.99
10639,597.18,443.03
10641,598.80,444.21
10643,600.41,445.46
10645,602.03,446.66
10647,603.62,447.81
10649,605.00,449.11
10651,606.15,450.67
10653,607.19,451.64
10655,608.47,452.94
10656,609.75,454.12
10658,611.00,455.34
10660,612.30,456.62
10662,613.63,458.29
10664,615.07,459.36
10666,616.42,460.56
10668,617.99,461.89
10670,619.48,463.14
10672,621.04,464.37
10674,622.66,465.77
10676,624.30,466.84
10678,625.97,468.12
10679,627.66,469.45
10681,629.33,470.83
10683,631.00,472.19
10685,633.01,473.86
10687,634.37,474.82
10689,636.09,476.10
10691,637.78,477.22
10693,639.42,478.53
10695,640.88,479.91
10697,642.87,481.34
10699,644.35,482.57
10700,645.89,483.90
10702,647.64,485.23
10704,649.46,486.56
10706,651.13,487.86
10708,652.70,489.16
10710,654.11,490.44
10712,655.44,491.90
10714,656.69,493.34
10716,657.97,494.72
10718,659.27,496.00
10720,660.55,497.20
10721,661.88,498.37
10723,663.18,499.62
10725,664.51,500.98
10727,665.79,502.36
10729,667.01,503.61
10731,668.24,504.76
10733,669.60,505.80
10735,670.85,506.98
10737,672.23,508.38
10739,673.74,509.69
10741,675.44,510.78
10742,677.08,511.93
10744,678.72,513.23
10746,680.50,514.25
10748,682.27,515.40
10750,684.02,516.68
10752,685.74,518.11
10754,687.30,518.82
10756,688.74,519.73
10758,690.20,520.82
10760,691.79,522.13
10762,693.35,523.43
10763,694.87,525.00
10766,696.35,525.83
10767,697.84,527.06
10769,699.30,528.44
10771,700.76,529.79
10773,702.19,531.02
10775,703.60,532.25
10777,705.11,533.18
10779,706.55,534.49
10781,707.96,535.90
10783,709.42,537.25
10784,710.88,538.45
10786,712.57,539.96
10788,713.67,540.96
10790,715.13,542.26
10792,716.48,543.62
10794,717.76,544.97
10796,719.04,546.25
10798,720.47,547.68
10800,721.60,548.75
10802,722.93,549.95
10804,724.31,551.18
10805,725.72,552.48
10807,727.28,553.84
10809,729.16,555.19
10811,730.93,556.34
10813,732.97,557.31
10815,734.79,558.43
10817,736.54,559.81
10819,737.97,561.17
10821,739.46,562.37
10823,741.00,563.54
10825,742.59,564.74
10826,744.20,565.94
10828,745.77,567.09
10830,747.33,568.49
10832,748.87,569.90
10834,750.46,571.18
10836,751.95,572.35
10838,753.36,573.68
10840,754.74,575.04
10842,756.17,576.24
10844,757.66,577.28
10846,759.17,578.51
10847,760.71,579.99
10849,762.30,581.45
10851,763.82,582.89
10853,765.33,584.37
10855,766.84,585.78
10857,768.30,587.14
10859,769.73,588.47
10861,771.17,589.77
10863,772.55,591.08
10865,773.96,592.77
10867,775.34,593.63
10868,776.72,595.01
10870,778.05,596.14
10872,779.31,597.49
10874,780.56,598.72
10876,781.94,600.10
10878,783.37,601.06
10880,784.81,602.37
10882,786.29,603.67
10884,787.86,604.85
10886,789.71,605.91
10888,791.85,607.30
10890,793.26,608.37
10891,794.87,609.54
10893,796.54,610.66
10895,798.19,611.96
10897,799.75,612.98
10899,801.50,614.23
10901,802.83,615.43
10903,804.34,616.53
10905,805.85,617.75
10907,807.36,618.95
10909,808.93,620.13
10910,810.52,621.33
10912,811.90,622.50
10914,813.31,623.73
10916,814.72,624.93
10918,816.18,626.10
10920,817.64,627.32
10922,819.15,628.58
10924,820.35,629.78
10926,821.52,630.95
10928,822.80,632.31
10930,824.13,633.53
10931,825.51,634.91
10933,827.00,636.11
10935,828.57,637.29
10937,830.03,638.51
10939,831.49,639.66
10941,832.92,641.17
10943,834.51,642.21
10945,835.87,643.44
10947,837.46,644.51
10949,839.23,645.53
10951,840.98,646.60
10952,842.57,647.80
10954,844.03,649.07
10956,845.46,650.25
10958,847.05,651.32
10960,848.93,652.44
10962,851.04,653.61
10964,853.11,654.89
10966,854.93,656.48
10968,856.44,657.37
10970,857.88,658.57
10972,859.36,659.69
10973,860.88,660.83
10975,862.36,662.09
10977,863.88,663.55
10979,865.44,664.62
10981,866.93,665.87
10983,868.28,667.15
10985,869.64,668.40
10987,871.05,669.60
10989,872.48,670.95
10991,873.42,671.79
10993,874.62,672.99
10995,875.84,674.24
10996,877.10,675.57
10998,878.43,677.24
11000,879.86,678.15
11002,881.32,679.40
11004,882.83,680.58
11006,884.40,681.70
11008,885.91,682.82
11010,887.48,684.23
11012,889.04,685.22
11014,890.55,686.52
11016,892.12,687.93
11017,893.73,689.34
11019,895.30,690.85
11021,897.18,692.68
11023,898.06,693.56
11025,899.42,694.60
11027,900.91,695.78
11029,902.57,697.13
11031,904.48,698.59
11033,906.41,700.24
11035,907.76,701.39
11037,909.30,702.66
11038,910.79,703.89
11040,912.30,705.22
11042,913.84,706.76
11044,915.40,708.30
11046,916.81,709.36
11048,918.33,710.54
11050,919.76,711.79
11052,921.17,713.09
11054,922.58,714.32
11056,924.09,715.34
11058,925.37,716.38
11059,926.64,717.61
11061,927.84,718.88
11064,929.38,720.24
11065,930.43,721.15
11067,931.68,722.20
11069,933.09,723.11
11071,934.57,723.99
11073,936.14,725.04
11075,937.73,725.95
11077,939.24,726.73
11079,940.54,727.41
11080,941.74,728.43
11082,942.92,729.26
11084,944.19,729.89
11086,945.55,730.57
11088,946.88,731.43
11090,948.18,732.23
11092,949.49,732.89
11094,950.64,733.49
11096,951.73,734.22
11098,952.80,735.08
11100,953.87,736.17
11102,955.02,736.69
11103,956.14,737.29
11105,957.18,738.00
11107,958.25,738.88
11109,959.27,739.80
11111,960.28,740.81
11113,961.28,741.49
11115,962.21,742.33
11117,963.23,743.14
11119,964.33,743.97
11121,965.55,744.91
11122,966.75,745.74
11124,967.87,746.42
11126,968.97,747.28
11128,970.12,748.19
11130,971.34,748.98
11132,972.38,749.76
11134,973.66,750.91
11136,974.47,751.64
11138,975.51,752.39
11140,976.48,753.07
11142,977.44,753.67
11143,978.43,754.32
11145,979.43,755.16
11147,980.31,755.94
11149,981.20,756.75
11151,982.06,757.56
11153,982.92,758.34
11155,983.75,759.15
11157,984.59,759.88
11159,985.42,760.63
11161,986.21,761.42
11163,986.91,762.25
11164,987.56,763.01
11166,988.24,763.66
11168,989.10,764.31
11170,990.14,765.07
11172,991.24,765.90
11174,992.28,766.58
11176,993.30,767.23
11178,994.32,767.94
11180,995.25,768.72
11182,996.17,769.55
11184,997.18,770.23
11185,998.20,770.93
11187,999.06,771.59
11189,999.92,772.37
11191,1000.89,773.23
11193,1001.96,774.09
11195,1003.10,774.82
11197,1004.33,775.50
11199,1005.56,776.18
11201,1006.81,777.09
11203,1007.90,777.87
11205,1009.13,778.73
11207,1010.28,779.62
11209,1011.37,780.45
11211,1012.39,781.26
11213,1013.48,782.07
11215,1014.55,782.77
11217,1015.65,783.58
11219,1016.61,784.55
11221,1017.66,785.56
11223,1018.72,786.50
11225,1019.85,787.34
11227,1020.94,788.22
11229,1022.11,789.11
11231,1023.29,789.97
11233,1024.44,790.78
11235,1025.71,791.77
11237,1026.55,792.47
11239,1027.46,793.36
11241,1028.24,794.27
11243,1029.05,795.26
11245,1029.83,796.18
11247,1030.69,797.09
11249,1031.55,798.00
11251,1032.42,798.86
11253,1033.30,799.75
11255,1034.24,800.56
11257,1035.18,801.55
11259,1036.17,802.72
11261,1036.85,803.61
11263,1037.63,804.24
11265,1038.54,804.91
11267,1039.56,805.77
11269,1040.66,806.58
11271,1041.52,807.29
11273,1042.48,808.04
11275,1043.42,808.72
11277,1044.44,809.58
11279,1045.40,810.36
11281,1046.55,810.99
11283,1047.72,811.62
11285,1048.79,812.48
11287,1049.78,813.26
11289,1050.96,813.86
11291,1052.21,814.51
11293,1053.41,815.16
11295,1054.56,816.05
11297,1055.75,816.80
11299,1056.98,817.40
11301,1058.23,817.90
11303,1059.41,818.58
11305,1060.66,819.39
11307,1061.88,820.06
11309,1063.03,820.61
11311,1064.20,821.21
11313,1065.35,821.97
11315,1066.42,822.57
11317,1067.41,823.14
11319,1068.14,823.87
11321,1069.37,824.65
11323,1070.33,825.25
11325,1071.53,825.85
11327,1072.18,826.35
11329,1073.12,827.24
11331,1074.11,828.02
11333,1075.13,828.64
11335,1076.15,829.11
11337,1077.16,829.79
11339,1078.23,830.55
11341,1079.28,831.12
11343,1080.22,831.80
11345,1081.13,832.45
11347,1082.01,833.08
11349,1082.95,833.52
11351,1083.97,834.20
11353,1084.99,834.95
11355,1086.00,835.71
11357,1087.10,836.42
11359,1088.38,837.17
11361,1089.21,837.75
11363,1090.15,838.58
11365,1091.17,839.47
11367,1092.19,840.30
11369,1093.12,841.03
11371,1094.04,841.76
11373,1094.92,842.60
11375,1095.84,843.27
11377,1096.75,843.98
11379,1097.64,844.79
11381,1098.63,845.62
11383,1099.70,846.01
11385,1100.66,846.74
11387,1101.70,847.55
11389,1102.69,848.02
11391,1103.71,848.57
11393,1104.81,849.25
11395,1105.69,849.90
11397,1106.76,850.55
11399,1107.83,851.20
11401,1108.80,851.85
11403,1109.87,852.66
11405,1111.01,853.52
11407,1112.06,854.23
11409,1113.13,854.90
11411,1114.17,855.53
11413,1115.21,856.16
11415,1116.36,857.02
11417,1117.66,857.64
11419,1118.81,858.35
11421,1119.91,859.10
11423,1120.92,859.96
11425,1122.02,860.82
11427,1123.11,861.63
11429,1124.21,862.39
11431,1125.23,863.12
11433,1126.35,863.80
11435,1127.42,864.63
11437,1128.28,865.54
11439,1129.24,866.46
11441,1130.23,867.32
11443,1131.35,868.10
11445,1132.50,868.93
11447,1133.57,869.77
11449,1134.95,870.73
11451,1135.73,871.31
11453,1136.70,872.19
11455,1137.72,873.05
11457,1138.68,873.86
11459,1139.62,874.65
11461,1140.45,875.35
11463,1141.29,876.11
11465,1142.18,876.99
11467,1143.01,877.93
11469,1143.77,878.84
11471,1144.63,879.99
11473,1145.49,880.70
11475,1146.43,881.63
11477,1147.39,882.57
11479,1148.43,883.36
11481,1149.45,884.24
11483,1150.57,884.95
11485,1151.41,885.55
11487,1152.45,886.41
11489,1153.49,887.16
11491,1154.51,887.87
11493,1155.58,888.73
11495,1156.68,889.56
11497,1157.82,890.34
11499,1158.84,891.13
11501,1159.86,891.80
11503,1160.87,892.51
11505,1161.94,893.53
11507,1163.12,894.15
11509,1164.42,895.01
11511,1165.72,895.82
11513,1166.92,896.63
11515,1168.18,897.38
11517,1169.51,898.22
11519,1170.68,899.00
11521,1171.83,899.91
11523,1173.03,900.91
11525,1174.23,901.87
11527,1175.35,902.86
11529,1176.39,903.83
11531,1177.51,904.71
11533,1178.66,905.55
11535,1179.86,906.41
11537,1180.90,907.22
11539,1182.05,908.42
11541,1183.22,909.38
11543,1184.34,910.35
11545,1185.41,911.28
11547,1186.40,912.17
11549,1187.39,913.01
11551,1188.28,913.76
11553,1189.19,914.65
11555,1190.08,915.53
11557,1190.99,916.40
11559,1191.83,917.33
11561,1192.71,918.22
11563,1193.55,919.16
11565,1194.44,920.10
11567,1195.48,921.14
11569,1196.26,921.85
11571,1197.20,922.71
11573,1198.37,923.75
11575,1199.10,924.24
11577,1200.09,924.84
11579,1201.03,925.44
11581,1201.87,926.07
11583,1202.88,926.77
11585,1203.43,927.11
11587,1204.08,927.45
11589,1204.58,927.97
11591,1205.08,928.39
11593,1205.54,928.68
11594,1206.04,929.04
11596,1206.56,929.33
11598,1207.11,929.56
11600,1207.60,929.72
11602,1208.13,929.88
11604,1208.62,929.98
11607,1209.14,930.03
11608,1209.67,930.06
11610,1210.21,930.09
11612,1210.73,930.09
11614,1211.26,930.09
11616,1211.80,930.09
11618,1212.22,930.09
11620,1212.74,930.09
11622,1213.21,930.09
11624,1213.68,930.09
11626,1214.20,930.09
11628,1214.80,930.11
11630,1215.35,930.11
11632,1215.90,930.11
11634,1216.39,930.11
11636,1216.91,930.09
11638,1217.49,930.11
11641,1218.09,930.11
11642,1218.66,930.11
11644,1219.26,930.09
11646,1219.84,930.11
11648,1220.44,930.11
11650,1220.98,930.11
11652,1221.40,930.11
11654,1221.84,930.11
11656,1222.26,930.11
11658,1222.78,930.11
11660,1223.33,930.11
11662,1223.83,930.11
11664,1224.40,930.11
11666,1225.00,930.09
11668,1225.70,930.11
11670,1226.38,930.11
11672,1226.98,930.11
11674,1227.63,930.11
11676,1228.26,930.11
11678,1228.83,930.11
11680,1229.30,930.11
11682,1229.77,930.09
11684,1230.21,930.11
11686,1230.61,930.11
11688,1230.97,930.11
11690,1231.28,930.11
11692,1231.65,930.11
11694,1232.04,930.11
11696,1232.59,930.11
11698,1233.16,930.11
11700,1233.71,930.11
11702,1234.20,930.11
11704,1234.73,930.11
11706,1235.38,930.11
11708,1235.77,930.11
11710,1236.24,930.11
11712,1236.76,930.11
11714,1237.18,930.11
11716,1237.57,930.11
11718,1237.91,930.11
11720,1238.14,930.09
11722,1238.40,930.11
11724,1238.74,930.11
11726,1239.05,930.11
11728,1239.50,930.11
11730,1239.99,930.11
11732,1240.46,930.11
11734,1240.93,930.09
11736,1241.45,930.11
11738,1242.00,930.11
11740,1242.58,930.11
11742,1242.91,930.11
11744,1243.25,930.11
11746,1243.62,930.11
11748,1244.04,930.11
11750,1244.48,930.11
11752,1244.92,930.09
11754,1245.37,930.11
11756,1245.81,930.11
11758,1246.23,930.11
11760,1246.62,930.11
11762,1247.09,930.11
11764,1247.50,930.11
11766,1247.92,930.11
11768,1248.36,930.11
11770,1248.81,930.11
11772,1249.25,930.11
11774,1249.75,930.11
11776,1250.19,930.09
11778,1250.63,930.11
11780,1251.10,930.11
11782,1251.55,930.11
11784,1252.02,930.11
11786,1252.43,930.11
11788,1252.88,930.11
11790,1253.35,930.11
