Time Speed
14977	0
14982	2
14987	0
14992	10
14997	30
15002	50
15007	64
15012	80
15017	98
15022	116
15027	136
15032	150
15037	168
15042	190
15047	204
15052	212
15057	226
15062	242
15067	248
15072	262
15077	280
15082	286
15087	282
15092	280
15097	282
15102	284
15107	288
15112	296
15117	300
15122	304
15127	302
15132	310
15137	312
15142	318
15147	322
15152	322
15157	322
15162	320
15167	322
15172	320
15177	314
15182	314
15187	312
15192	312
15197	314
15202	314
15207	316
15212	322
15217	324
15222	324
15227	328
15232	330
15237	330
15242	326
15247	328
15252	318
15257	320
15262	318
15267	318
15272	320
15277	318
15282	328
15287	328
15292	330
15297	336
15302	330
15307	336
15312	338
15317	334
15322	334
15327	330
15332	330
15337	332
15342	326
15347	318
15352	318
15357	320
15362	322
15367	324
15372	332
15377	334
15382	342
15387	352
15392	354
15397	350
15402	352
15407	348
15412	344
15417	342
15422	342
15427	332
15432	332
15437	334
15442	334
15447	338
15452	340
15457	342
15462	348
15467	348
15472	346
15477	344
15482	340
15487	336
15492	330
15497	326
15502	318
15507	316
15512	314
15517	314
15522	320
15527	328
15532	328
15537	332
15542	352
15547	364
15552	358
15557	346
15562	346
15567	344
15572	336
15577	342
15582	342
15587	334
15592	334
15597	330
15602	334
15607	334
15612	334
15617	336
15622	334
15627	344
15632	356
15637	340
15642	336
15647	338
15652	332
15657	332
15662	332
15667	330
15672	326
15677	336
15682	338
15687	334
15692	342
15697	348
15702	362
15707	368
15712	358
15717	358
15722	354
15727	344
15732	344
15737	340
15742	334
15747	334
15752	332
15757	332
15762	336
15767	340
15772	344
15777	348
15782	346
15787	344
15792	342
15797	342
15802	340
15807	334
15812	326
15817	324
15822	318
15827	316
15832	320
15837	320
15842	318
15847	326
15852	330
15857	336
15862	342
15867	346
15872	346
15877	344
15882	348
15887	348
15892	352
15897	352
15902	348
15907	338
15912	332
15917	338
15922	342
15927	344
15932	350
15937	350
15942	352
15947	356
15952	354
15957	356
15962	352
15967	346
15972	342
15977	338
15982	338
15987	336
15992	342
15997	344
16002	348
16007	354
16012	364
16017	376
16022	376
16027	370
16032	364
16037	364
16042	366
16047	366
16052	362
16057	354
16062	348
16067	358
16072	372
16077	378
16082	372
16087	358
16092	352
16097	362
16102	372
16107	372
16112	366
16159	63.82978723
16164	806
16169	738
16174	670
16179	628
16184	602
16189	554
16194	516
16199	490
16204	468
16209	452
16214	438
16219	424
16224	414
16229	400
16234	406
16239	408
16244	394
16249	384
16254	372
16259	366
16264	360
16269	354
16274	348
16279	338
16284	336
16289	334
16294	328
16299	326
16304	330
16309	336
16314	332
16319	334
16324	336
16329	340
16334	338
16339	336
16344	334
16349	334
16354	326
16359	324
16364	324
16369	332
16374	338
16379	328
16384	324
16389	330
16394	338
16399	342
16404	342
16409	344
16414	340
16419	342
16424	346
16429	342
16434	332
16439	326
16444	328
16449	340
16454	332
16459	332
16464	340
16469	342
16474	342
16479	348
16484	352
16489	356
16494	358
16499	350
16504	352
16509	350
16514	346
16519	346
16524	348
16529	348
16534	344
16539	338
16544	340
16549	340
16554	338
16559	336
16564	326
16569	326
16574	322
16579	320
16584	318
16589	316
16594	314
16599	308
16604	310
16609	314
16614	314
16619	318
16624	320
16629	322
16634	328
16639	330
16644	338
16649	348
16654	342
16659	332
16664	328
16669	334
16674	328
16679	330
16684	340
16689	340
16694	332
16699	332
16704	334
16709	340
16714	344
16719	346
16724	344
16729	346
16734	344
16739	352
16744	350
16749	342
16754	342
16759	344
16764	344
16769	352
16774	354
16779	358
16784	362
16789	366
16794	370
16799	374
16804	364
16809	356
16814	354
16819	352
16824	356
16829	350
16834	344
16839	348
16844	352
16849	350
16854	352
16859	350
16864	352
16869	352
16874	348
16879	346
16884	342
16889	340
16894	336
16899	324
16904	324
16909	314
16914	318
16919	322
16924	318
16929	314
16934	322
16939	326
16944	330
16949	338
16954	342
16959	346
16964	342
16969	342
16974	342
16979	338
16984	340
16989	336
16994	328
16999	328
17004	340
17009	348
17014	350
17019	348
17024	348
17029	356
17034	358
17039	354
17044	348
17049	350
17054	352
17059	352
17064	344
17069	340
17074	350
17079	366
17084	368
17089	362
17094	366
17099	376
17104	382
17109	378
17114	370
17119	372
17124	376
17129	368
17134	356
17139	352
17144	348
17149	348
17154	352
17159	358
17164	368
17169	362
17174	354
17179	352
17184	366
17189	374
17194	368
17199	358
17204	346
17209	338
17214	342
17219	344
17224	344
17229	348
17234	352
17239	358
17244	366
17249	380
17254	384
17259	376
17264	364
17269	362
17274	360
17279	352
17284	342
17289	342
17294	338
17299	348
17304	354
17309	350
17314	354
17319	358
17324	360
17329	360
17334	360
17339	358
17344	354
17349	344
17354	340
17359	334
17364	330
17369	328
17374	324
17379	320
17384	324
17389	332
17394	332
17399	346
17404	358
17463	51.3559322
17468	822
17473	750
17478	694
17483	644
17488	602
17493	570
17498	534
17503	498
17508	476
17513	454
17518	428
17523	412
17528	394
17533	390
17538	388
17543	372
17548	368
17553	378
17558	372
17563	372
17568	378
17573	372
17578	368
17583	372
17588	372
17593	360
17598	348
17603	348
17608	344
17613	344
17618	344
17623	336
17628	336
17633	334
17638	340
17643	346
17648	344
17653	342
17658	338
17663	336
17668	334
17673	336
17678	332
17683	324
17688	328
17693	324
17698	320
17703	326
17708	338
17713	346
17718	346
17723	346
17728	354
17733	352
17738	352
17743	358
17748	348
17753	334
17758	332
17763	334
17768	338
17773	342
17778	338
17783	334
17788	338
17793	344
17798	352
17803	356
17808	350
17813	348
17818	346
17823	348
17828	348
17833	340
17838	340
17843	336
17848	336
17853	338
17858	346
17863	348
17868	350
17873	354
17878	352
17883	358
17888	356
17893	358
17898	360
17903	348
17908	348
17913	344
17918	346
17923	348
17928	342
17933	336
17938	340
17943	342
17948	348
17953	348
17958	346
17963	344
17968	342
17973	338
17978	336
17983	332
17988	330
17993	322
17998	322
18003	326
18008	322
18013	326
18018	330
18023	330
18028	340
18033	342
18038	344
18043	350
18048	352
18053	348
18058	346
18063	350
18068	352
18073	346
18078	342
18083	346
18088	348
18093	340
18098	340
18103	344
18108	346
18113	352
18118	348
18123	336
18128	328
18133	336
18138	348
18143	352
18148	348
18153	340
18158	330
18163	332
18168	348
18173	356
18178	358
18183	354
18188	358
18193	364
18198	372
18203	368
18208	356
18213	354
18218	360
18223	364
18228	360
18233	348
18238	342
18243	344
18248	358
18253	362
18258	364
18263	358
18268	364
18273	370
18278	368
18283	360
18288	354
18293	352
18298	356
18303	364
18308	360
18313	362
18318	364
18323	364
18328	372
18333	376
18338	376
18343	370
18348	358
18353	354
18358	356
18363	354
18368	346
18373	344
18378	342
18383	342
18388	344
18393	342
18398	346
18403	340
18408	336
18413	340
18418	334
18423	332
18428	336
18433	332
18438	324
18443	322
18448	324
18453	318
18458	316
18463	322
18468	322
18473	320
18478	330
18483	334
18488	342
18493	344
18498	342
18503	342
18508	340
18513	340
18518	344
18523	346
18528	338
18533	332
18538	338
18543	340
18548	336
18553	342
18558	350
18563	352
18568	354
18573	352
18578	352
18583	354
18588	350
18593	344
18598	338
18603	332
18608	338
18613	342
18618	338
18623	344
18628	354
18633	354
18638	360
18643	372
18648	370
18653	368
18658	364
18663	364
18668	362
18673	352
18678	346
18683	338
18688	332
18693	328
18698	330
18703	330
18708	322
18713	324
18718	328
18723	326
18759	65.83333333
18764	594
18769	552
18774	516
18779	492
18784	468
18789	450
18794	448
18799	444
18804	432
18809	422
18814	410
18819	406
18824	398
18829	384
18834	378
18839	370
18844	354
18849	354
18854	356
18859	352
18864	354
18869	352
18874	356
18879	362
18884	372
18889	370
18894	364
18899	366
18904	360
18909	352
18914	352
18919	348
18924	346
18929	346
18934	344
18939	344
18944	354
18949	356
18954	354
18959	354
18964	358
18969	358
18974	358
18979	352
18984	348
18989	342
18994	334
18999	332
19004	326
19009	324
19014	330
19019	330
19024	318
19029	322
19034	322
19039	334
19044	346
19049	334
19054	332
19059	328
19064	324
19069	324
19074	316
19079	312
19084	314
19089	312
19094	314
19099	320
19104	326
19109	338
19114	346
19119	348
19124	352
19129	356
19134	360
19139	360
19144	352
19149	348
19154	350
19159	346
19164	346
19169	344
19174	342
19179	342
19184	344
19189	352
19194	356
19199	360
19204	362
19209	364
19214	366
19219	362
19224	360
19229	356
19234	356
19239	356
19244	362
19249	366
19254	362
19259	360
19264	372
19269	382
19274	376
19279	376
19284	378
19289	372
19294	370
19299	372
19304	364
19309	354
19314	354
19319	356
19324	352
19329	352
19334	356
19339	366
19344	370
19349	372
19354	364
19359	358
19364	360
19369	368
19374	370
19379	360
19384	352
19389	346
19394	346
19399	350
19404	350
19409	354
19414	358
19419	360
19424	366
19429	362
19434	358
19439	352
19444	348
19449	348
19454	344
19459	340
19464	336
19469	334
19474	332
19479	330
19484	334
19489	336
19494	338
19499	340
19504	336
19509	338
19514	350
19519	352
19524	342
19529	328
19534	320
19539	314
19544	324
19549	336
19554	328
19559	324
19564	334
19569	332
19574	338
19579	344
19584	350
19589	350
19594	350
19599	348
19604	348
19609	350
19614	344
19619	342
19624	344
19629	348
19634	344
19639	340
19644	342
19649	342
19654	342
19659	332
19664	334
19669	342
19674	336
19679	334
19684	336
19689	328
19694	330
19699	334
19704	336
19709	340
19714	340
19719	344
19724	348
19729	350
19734	352
19739	354
19744	350
19749	344
19754	342
19759	338
19764	338
19769	332
19774	328
19779	320
19784	318
19789	320
19794	318
19799	322
19804	326
19809	328
19814	328
19819	328
19824	334
19829	342
19834	344
19839	338
19844	324
19849	320
19854	330
19859	336
19864	340
19869	342
19874	342
19879	346
19884	354
19889	360
19894	362
19899	356
19904	346
19909	346
19914	346
19919	346
19924	344
19929	338
19934	340
19939	346
19944	348
19949	354
19954	352
19959	350
19964	354
