time,leftEncoderCount,rightEncoderCount
12050,20.78,-15.65
12051,20.78,-15.65
12052,20.78,-15.65
12053,20.78,-15.59
12054,20.78,-15.49
12055,20.78,-15.36
12056,20.78,-15.18
12057,20.78,-14.97
12058,20.86,-14.73
12060,21.04,-14.42
12061,21.41,-14.19
12062,21.62,-13.93
12063,21.88,-13.38
12065,22.43,-12.57
12067,23.47,-11.84
12069,24.57,-11.19
12070,25.61,-10.25
12072,26.70,-9.57
12074,27.75,-8.74
12076,28.87,-7.72
12077,30.12,-6.60
12079,31.35,-5.29
12081,32.73,-4.09
12083,34.11,-3.10
12084,35.41,-2.09
12086,36.80,-0.94
12088,38.23,0.37
12089,39.64,1.54
12091,41.18,2.74
12093,42.64,4.25
12095,44.18,5.06
12096,45.71,6.34
12098,47.12,7.61
12099,48.50,8.87
12101,50.02,10.12
12103,51.89,11.47
12105,54.11,13.09
12107,55.55,14.13
12108,57.32,15.67
12110,58.94,17.08
12111,60.66,18.62
12113,62.30,20.05
12115,63.84,21.33
12117,65.45,22.53
12118,67.07,23.65
12120,68.51,25.06
12122,70.20,26.57
12124,71.84,28.14
12125,73.15,29.65
12127,74.69,31.32
12129,75.81,32.34
12131,77.03,33.61
12132,78.55,35.13
12134,80.08,36.61
12136,81.83,37.94
12137,83.68,39.35
12140,85.69,40.84
12141,87.70,42.32
12143,89.58,44.02
12144,91.53,45.69
12146,93.41,47.41
12148,95.16,49.00
12150,97.32,50.93
12152,99.02,52.29
12153,100.82,53.75
12155,102.95,55.42
12157,104.99,57.06
12159,106.81,58.81
12160,109.00,60.73
12162,110.86,61.93
12164,112.81,63.58
12166,114.64,65.14
12168,116.52,66.84
12170,118.34,68.38
12171,120.06,70.33
12173,121.81,71.48
12175,123.66,72.83
12177,125.38,74.48
12179,127.02,76.12
12180,128.75,77.69
12182,130.34,79.28
12184,132.06,80.68
12186,133.70,82.41
12188,135.32,84.05
12190,137.06,85.48
12191,138.73,87.18
12193,140.56,88.85
12195,142.54,90.54
12197,144.52,92.13
12199,146.84,93.78
12201,149.19,95.34
12202,151.38,97.06
12204,153.52,98.99
12206,155.34,101.00
12208,157.09,102.43
12210,159.02,103.92
12212,160.90,105.28
12214,162.75,106.79
12216,164.60,108.82
12217,166.35,110.65
12219,168.23,112.45
12221,170.05,114.04
12223,171.90,115.37
12225,173.83,116.75
12227,175.69,118.37
12229,177.75,120.06
12231,179.96,121.99
12233,181.55,123.30
12235,183.38,125.07
12237,185.28,126.97
12238,187.19,128.72
12240,189.12,130.54
12242,190.97,132.27
12244,192.77,133.57
12246,194.64,134.80
12248,196.57,136.44
12250,198.45,138.71
12252,200.33,140.43
12254,202.57,141.94
12256,204.97,143.35
12258,207.27,144.86
12259,209.51,146.27
12261,211.70,147.91
12263,213.63,149.58
12265,216.03,151.62
12267,218.17,152.76
12269,220.33,154.33
12271,222.29,155.97
12273,224.22,158.16
12275,226.12,159.31
12277,227.92,161.08
12279,229.59,162.80
12280,231.34,164.58
12282,233.11,166.35
12284,234.99,168.23
12286,236.84,169.56
12288,238.64,171.23
12290,240.38,173.08
12292,242.08,174.77
12294,243.75,176.23
12296,245.83,178.19
12298,247.45,179.75
12300,249.46,181.40
12301,251.39,182.91
12303,253.27,184.11
12305,255.40,185.52
12307,257.86,187.39
12309,260.02,188.80
12311,262.42,189.98
12313,264.79,191.46
12315,267.01,193.24
12317,269.15,194.64
12319,271.23,195.77
12321,273.35,197.15
12322,275.35,198.76
12324,277.13,200.20
