time,leftEncoderCount,rightEncoderCount
12794,36.51,5.01
12795,36.51,5.01
12796,36.51,5.01
12797,36.51,5.01
12798,36.51,5.01
12799,36.51,5.09
12800,36.51,5.27
12801,36.53,5.45
12802,36.72,5.66
12803,37.08,5.84
12804,37.73,6.15
12806,38.20,6.39
12807,38.73,6.62
12808,39.27,6.88
12809,39.74,7.17
12810,40.42,7.75
12811,41.18,8.48
12813,42.22,9.31
12815,43.37,10.20
12817,44.49,10.93
12818,45.79,11.81
12820,47.02,12.80
12822,48.32,13.93
12823,49.65,15.13
12825,51.16,16.27
12827,52.55,17.39
12829,53.95,18.49
12830,55.55,19.48
12832,57.08,20.58
12834,58.75,21.83
12836,60.27,23.31
12837,61.99,25.09
12839,63.00,26.00
12841,64.54,27.15
12843,65.95,28.37
12844,67.36,29.68
12846,68.69,31.19
12848,69.97,32.57
12850,71.37,34.58
12852,72.81,35.70
12853,74.37,37.13
12855,75.83,38.33
12856,77.50,39.59
12858,79.22,40.84
12860,81.39,42.64
12862,82.69,43.89
12863,84.52,45.51
12865,86.24,46.78
12867,88.04,48.01
12869,89.81,49.55
12870,91.45,51.32
12872,93.33,53.02
12874,95.29,54.76
12876,97.01,56.46
12877,98.91,58.05
12879,100.79,59.46
12881,102.64,60.94
12883,104.81,62.66
12884,106.53,64.10
12886,108.51,65.95
12888,110.60,67.62
12890,112.50,69.21
12892,114.32,70.59
12894,116.72,72.73
12896,117.95,74.14
12897,119.70,75.86
12899,121.60,77.45
12901,123.35,78.70
12903,125.17,80.19
12905,126.87,82.17
12907,128.59,83.19
12908,130.39,84.49
12910,132.11,86.08
12912,133.83,87.62
12914,135.68,88.98
12915,137.35,90.52
12918,139.12,92.18
12919,140.82,93.72
12921,142.57,95.31
12923,144.50,96.83
12925,146.48,98.52
12926,148.43,100.32
12928,150.52,101.86
12930,152.63,103.32
12932,154.85,105.01
12934,156.86,106.79
12936,158.87,108.61
12938,160.90,110.18
12940,163.12,111.85
12942,165.28,113.65
12944,167.47,115.45
12946,169.61,117.22
12947,171.64,118.91
12949,173.57,120.43
12951,175.45,121.94
12953,177.33,123.37
12955,179.05,125.07
12957,180.64,126.53
12959,182.20,128.12
12961,183.69,129.92
12963,185.20,131.56
12965,186.74,133.28
12967,188.59,135.03
12968,190.45,136.75
12970,192.40,138.39
12972,194.59,140.30
12974,196.78,141.78
12976,198.95,143.53
12978,201.16,145.41
12980,203.48,147.18
12982,205.78,149.45
12984,208.10,150.83
12986,210.39,152.68
12988,212.69,154.51
12989,215.04,156.31
12991,217.28,158.16
12993,219.26,160.53
12995,221.11,161.86
12997,222.96,163.56
12999,224.66,165.15
13001,226.20,167.00
13003,228.10,168.91
13005,229.82,170.91
13007,231.47,172.40
13009,233.24,174.07
13010,235.17,175.74
13012,237.15,177.41
13014,239.16,179.13
13016,241.58,181.47
13018,243.12,182.83
13020,245.05,184.63
13022,247.03,186.17
13024,248.99,187.89
13026,250.92,189.87
13028,252.80,191.67
13030,254.73,193.21
13031,256.84,194.72
13033,259.03,196.55
13035,261.12,198.50
13037,263.23,200.17
13039,265.44,201.71
13041,267.50,203.48
13043,269.56,205.44
13045,271.55,207.19
13047,273.42,208.73
13049,275.33,210.26
13051,277.23,211.83
13052,279.14,213.50
13054,281.01,215.40
13056,282.94,217.20
13058,284.90,218.82
13060,286.83,220.33
13062,288.73,221.82
13064,290.40,223.49
13066,292.17,225.26
13068,294.34,227.08
13070,296.45,228.88
13072,298.56,230.50
13073,300.39,232.14
13075,302.47,233.86
13077,304.38,235.51
13079,306.26,236.84
13081,308.19,238.43
13083,310.14,240.31
13085,312.10,242.18
13087,314.39,243.85
13089,316.90,245.26
13091,319.24,246.41
13093,321.54,247.95
13094,323.78,250.29
13097,325.94,251.52
13098,328.06,253.11
13100,330.12,254.57
13102,332.13,256.08
13104,334.05,257.54
13106,335.93,259.19
13108,337.65,261.14
13110,339.27,263.10
13112,340.91,265.18
13114,342.48,266.96
13115,344.02,268.70
13117,345.92,270.82
13119,347.25,271.94
13121,349.10,273.50
13123,351.03,275.20
13125,353.07,276.94
13127,355.05,278.69
13129,357.32,280.65
13131,359.04,282.13
13133,361.10,283.83
13135,363.18,285.47
13136,365.24,287.09
13138,367.59,288.81
13140,370.17,290.37
13142,372.36,291.73
13144,374.63,293.32
13146,377.08,295.12
13148,379.33,296.63
13150,381.52,298.09
13152,383.60,299.76
13154,385.32,301.41
13156,386.86,303.13
13157,388.35,304.72
13159,389.84,306.28
13161,391.35,308.00
13163,392.89,309.85
13165,394.58,311.71
13167,396.28,313.48
13169,398.00,315.17
13171,399.74,316.77
13173,401.60,318.46
13175,403.55,320.23
13177,405.64,321.98
13178,407.80,323.52
13180,410.12,325.11
13182,412.13,327.01
13184,414.32,328.63
13186,416.67,330.22
13188,418.81,331.68
13190,421.10,333.22
13192,423.34,334.84
13194,425.54,336.35
13196,427.70,337.86
13198,430.15,339.56
13200,432.03,341.07
13201,434.14,342.95
13203,436.07,344.51
13205,437.79,346.00
13207,439.51,348.03
13209,441.26,349.55
13211,442.93,351.45
13213,444.60,353.27
13215,446.42,354.97
13217,448.38,356.72
13219,450.70,358.59
13221,452.32,359.87
13222,454.48,361.51
13224,456.67,363.16
13226,458.73,364.85
13228,460.79,366.65
13230,463.06,368.74
13232,464.81,370.46
13234,466.82,372.55
13236,468.75,374.32
13238,470.68,375.96
13240,472.66,377.55
13242,474.46,379.22
13243,476.05,380.63
13245,477.87,382.46
13247,479.65,384.54
13249,481.50,386.52
13251,483.48,388.09
13253,485.59,389.52
13255,487.63,391.17
13257,489.82,393.15
13259,492.22,394.95
13261,494.22,396.46
13263,496.21,397.76
13264,498.24,399.30
13266,500.12,401.13
13268,501.79,402.85
13270,503.46,404.23
13272,505.33,405.59
13274,506.90,407.20
13276,508.36,408.74
13278,510.05,410.31
13280,511.70,411.84
13282,513.57,413.36
13284,515.66,414.77
13285,517.85,416.38
13287,520.69,418.47
13289,522.28,419.69
13291,524.53,421.23
13293,526.74,422.77
13295,528.93,424.52
13297,531.28,426.92
13299,533.47,428.40
13301,535.66,430.05
13303,537.75,431.90
13305,539.76,433.46
13306,541.74,434.92
13308,543.77,436.93
13310,545.75,438.31
13312,547.66,440.01
13314,549.61,441.73
13316,551.28,443.42
13318,553.06,445.04
13320,554.88,446.63
13322,556.55,448.38
13324,558.32,450.15
13326,560.07,451.87
13327,561.79,453.52
13329,563.51,454.98
13331,565.62,456.70
13333,567.48,457.98
13335,569.72,459.65
13337,572.01,461.13
13339,574.28,462.72
13341,576.55,464.39
13343,578.95,466.43
13345,580.96,468.09
13347,583.12,469.87
13348,585.26,471.64
13350,587.32,473.41
13352,589.30,475.19
13354,591.21,477.14
13356,592.95,478.99
13358,594.70,481.03
13360,596.47,482.88
13362,598.17,484.60
13364,599.79,486.27
13366,601.61,488.04
13368,603.59,489.87
13369,605.45,491.64
13371,607.43,493.31
13373,609.38,495.08
13375,611.42,496.78
13377,613.35,498.47
13379,615.30,500.07
13381,617.28,502.00
13383,619.29,503.82
13385,621.27,505.54
13387,623.26,507.16
13389,625.24,508.85
13390,627.27,510.42
13392,629.31,512.09
13394,631.21,514.02
13396,633.09,515.61
13398,635.17,517.77
13400,637.26,519.28
13402,639.53,521.16
13404,641.64,522.75
13406,643.70,524.32
13408,645.87,525.93
13410,647.87,528.15
13412,649.78,529.64
13413,651.55,531.33
13415,653.45,533.05
13417,655.59,534.46
13419,657.57,536.03
13421,659.58,537.98
13423,661.64,539.47
13425,663.70,541.01
13427,665.63,542.52
13429,667.28,544.14
13431,668.92,545.81
13432,670.72,547.50
13434,672.44,549.25
13436,674.13,551.07
13438,675.80,552.64
13440,677.47,554.28
13442,679.17,555.95
13444,681.49,557.96
13446,683.55,559.60
13448,685.84,561.35
13450,688.16,563.12
13452,690.33,564.82
13453,692.34,566.41
13455,694.40,568.00
13457,696.51,569.85
13459,698.54,571.60
13461,700.58,573.47
13463,702.48,575.22
13465,704.38,576.73
13467,706.34,578.22
13469,708.32,579.89
13471,710.28,581.85
13473,712.16,583.77
13475,713.88,585.81
13476,715.44,587.76
13478,717.01,589.59
13480,719.14,591.18
13482,721.18,592.64
13484,723.19,594.05
13486,725.17,595.90
13488,727.10,597.93
13490,729.05,600.00
13492,731.01,601.43
13494,733.02,602.76
13496,735.13,604.35
13497,737.22,606.31
13499,739.30,608.31
13501,741.44,609.44
13503,743.60,611.05
13505,745.95,612.59
13507,748.43,614.00
13509,750.85,615.46
13511,752.97,617.31
13513,754.95,618.46
13515,756.83,619.81
13517,758.73,621.14
13518,760.42,622.76
13520,762.15,624.43
13522,763.76,626.12
13524,765.43,627.27
13526,767.18,628.76
13528,768.98,630.58
13530,770.75,632.36
13532,772.47,634.00
13534,774.25,635.57
13536,776.18,637.18
13538,778.18,639.01
13539,780.24,640.86
13541,782.59,643.02
13543,784.39,645.03
13545,786.40,646.18
13547,788.38,647.56
13549,790.36,649.02
13551,792.29,650.74
13553,794.20,652.49
13555,796.23,654.16
13557,798.26,655.70
13559,800.51,657.21
13560,802.78,658.67
13562,804.91,660.55
13564,806.79,662.32
13566,808.98,664.35
13568,810.49,665.63
13570,812.37,667.07
13572,814.25,668.50
13574,816.13,670.33
13576,818.03,672.10
13578,819.83,673.79
13580,821.39,675.31
13581,823.04,676.85
13583,824.78,678.78
13585,826.77,680.65
13587,828.93,682.48
13589,831.36,684.33
13591,833.42,686.16
13593,835.29,687.93
13595,837.25,689.62
13597,839.23,691.24
13599,841.21,692.96
13601,843.25,694.66
13602,845.31,696.48
13604,847.37,698.07
13606,849.43,699.79
13608,851.46,701.65
13610,853.55,703.39
13612,855.63,705.01
13614,857.85,706.63
13616,860.09,708.40
13618,862.28,710.36
13620,864.27,712.16
13622,866.17,713.88
13623,868.02,715.31
13625,869.98,716.98
13627,871.88,718.86
13629,873.68,720.71
13631,875.45,722.40
13633,877.15,724.54
13635,878.79,725.59
13637,880.46,727.25
13639,882.13,729.05
13641,883.85,730.77
13643,885.70,732.52
13644,887.74,734.69
