time,leftEncoderCount,rightEncoderCount
7141,38.33,38.33
7204,77.74,78.39
7221,95.50,96.15
7237,105.67,105.74
7247,104.62,104.83
7304,147.10,147.86
7321,163.14,163.59
7337,166.40,166.27
7348,163.69,163.69
7405,202.96,203.95
7421,221.74,222.34
7438,230.37,230.42
7449,229.41,229.46
7511,277.49,278.17
7527,287.53,287.58
7538,288.13,288.21
7548,292.54,292.96
7610,241.58,242.16
7627,259.08,259.81
7637,269.04,269.12
7648,269.51,269.43
7705,295.38,296.06
7721,313.17,314.13
7738,322.79,322.84
7748,322.29,322.24
7811,369.49,370.20
7827,383.65,383.84
7837,387.31,387.23
7848,385.85,385.98
7910,435.47,436.15
7927,443.89,443.92
7937,443.69,443.79
7948,447.34,447.81
8011,395.49,396.09
8027,413.10,413.77
8038,422.88,423.06
8049,423.08,422.82
8112,456.59,457.32
8128,472.84,473.57
8139,482.72,482.83
8156,481.08,480.77
8214,504.47,505.05
8231,521.45,522.10
8247,532.06,532.11
8257,530.45,530.52
8321,580.28,580.98
8337,591.00,591.10
8347,591.18,591.34
8358,595.22,595.54
8421,546.98,547.58
8437,562.60,563.20
8448,571.39,571.52
8458,572.01,571.78
8521,606.93,607.56
8537,621.74,622.58
8548,632.51,632.59
8558,632.02,632.02
8620,666.39,667.12
8637,682.82,683.47
8647,692.10,692.34
8658,692.60,692.47
8668,689.65,689.81
8731,735.13,735.78
8747,753.33,753.96
8757,760.27,760.35
8768,761.18,761.21
8831,798.81,799.54
8847,814.43,815.14
8858,823.04,823.06
8869,823.22,822.99
8932,857.51,858.11
8948,874.02,874.65
8959,882.16,882.21
8976,881.01,880.80
9034,907.58,908.21
9051,923.44,924.04
9067,931.89,931.99
9077,930.84,930.95
9141,980.91,981.49
9157,990.56,990.66
9167,990.38,990.53
9178,994.92,995.18
9241,1049.39,1050.20
9257,1059.80,1059.90
9267,1058.81,1058.86
9278,1063.08,1063.45
9335,1113.10,1113.86
9352,1123.79,1123.71
9369,1124.52,1124.70
9379,1129.48,1130.00
9441,1079.88,1080.45
9458,1095.68,1096.33
9468,1104.18,1104.31
9479,1105.48,1105.35
9489,1102.98,1103.09
9551,1149.32,1149.87
9568,1162.78,1163.17
9578,1166.04,1166.01
9589,1164.00,1164.13
9652,1212.51,1213.21
9668,1224.03,1224.19
9678,1225.57,1225.57
9689,1225.57,1225.83
9752,1274.89,1275.54
9768,1285.60,1285.71
9778,1285.55,1285.73
9789,1289.80,1290.25
9852,1239.58,1240.18
9868,1253.81,1254.36
9879,1263.44,1263.62
9896,1261.79,1261.46
9954,1289.83,1290.48
9971,1304.56,1305.11
9987,1313.87,1313.87
9997,1313.45,1313.43
10061,1361.78,1362.51
10077,1374.11,1374.45
10087,1376.77,1376.69
10098,1375.21,1375.31
10155,1417.84,1418.52
10172,1432.11,1432.39
10189,1433.80,1433.62
10199,1430.15,1430.46
10262,1474.51,1475.27
10278,1492.35,1493.18
10289,1502.28,1502.39
10299,1502.49,1502.31
10361,1535.19,1535.82
10378,1551.07,1551.70
10388,1560.80,1560.91
10399,1560.51,1560.44
10409,1558.11,1558.14
10471,1603.33,1604.17
10488,1619.55,1620.18
10498,1624.93,1625.13
10509,1625.66,1625.84
10572,1676.64,1677.19
10588,1685.87,1686.00
10598,1684.62,1684.90
10609,1689.62,1690.02
10672,1638.02,1638.67
10688,1656.58,1657.29
10699,1665.95,1666.05
10716,1664.59,1664.33
10774,1686.76,1687.30
10791,1705.11,1705.84
10807,1714.69,1714.71
10817,1713.96,1714.06
10875,1756.62,1757.32
10892,1772.92,1773.39
10908,1777.95,1777.85
10919,1776.07,1776.12
10981,1822.52,1823.22
10997,1835.50,1835.84
11007,1838.27,1838.24
11018,1837.49,1837.49
11028,1840.43,1840.77
11091,1894.10,1894.88
11108,1904.69,1904.79
11118,1903.67,1903.72
11128,1908.29,1908.73
11191,1856.63,1857.33
11208,1873.99,1874.78
11218,1883.67,1883.64
11228,1883.07,1883.04
11291,1917.44,1918.14
11308,1934.75,1935.46
11318,1943.15,1943.28
11329,1943.52,1943.41
11392,1977.31,1977.91
