time,leftEncoderCount,rightEncoderCount
10490,-25.09,36.07
10500,-25.09,36.07
10510,-22.95,37.84
10520,-19.95,40.55
10530,-15.46,44.15
10540,-10.59,47.54
10550,-5.22,51.40
10560,-0.08,55.08
10570,4.95,58.49
10580,10.17,61.91
10590,15.15,65.59
10600,19.58,69.39
10610,23.94,72.97
10620,28.35,76.59
10630,32.75,79.77
10640,38.02,83.29
10650,43.24,86.68
10660,49.37,90.41
10670,54.95,93.98
10680,59.85,97.74
10690,64.26,101.16
10700,68.69,104.23
10710,73.46,107.70
10720,77.84,111.14
10730,82.54,113.99
10740,88.04,117.61
10750,93.46,121.60
10760,98.96,125.28
10770,104.34,129.29
10780,110.10,133.44
10790,115.26,137.19
10800,119.93,140.40
10810,124.31,143.84
10820,129.19,147.57
10830,134.22,151.41
10840,138.86,155.58
10850,143.92,160.14
10860,149.14,164.39
10870,153.65,168.70
10880,159.41,172.92
10890,164.71,176.73
10900,169.87,180.20
10910,174.82,183.01
10920,179.02,185.44
10930,183.27,188.12
10940,188.18,190.34
10950,192.69,192.69
10960,197.83,195.14
10970,203.61,197.83
10980,209.22,200.75
10990,214.70,204.63
11000,220.46,208.00
11010,225.70,211.86
11020,230.40,215.79
11030,234.59,219.18
11040,238.43,222.36
11050,242.99,225.49
11060,248.02,228.81
11070,253.42,232.38
11080,259.06,236.13
11090,263.78,239.73
11100,269.10,243.77
11110,274.05,247.74
11120,279.06,251.94
11130,283.67,256.13
11140,288.29,260.39
11150,293.11,264.90
11160,298.33,268.86
11170,303.70,273.27
11180,309.10,276.89
11190,314.18,280.78
11200,319.74,284.56
11210,325.27,288.18
11220,330.25,291.42
11230,334.94,294.47
11240,339.95,297.18
11250,344.54,300.02
11260,348.87,302.81
11270,353.30,305.63
11280,358.33,308.86
11290,363.68,311.78
11300,369.00,314.73
11310,374.84,318.04
11320,380.24,321.75
11330,385.27,325.40
11340,389.70,329.39
11350,393.88,333.09
11360,398.73,337.34
11370,403.19,341.17
11380,408.35,345.09
11390,413.41,348.71
11400,419.82,352.21
11410,425.95,355.70
11420,431.66,359.25
11430,436.23,363.16
11440,440.48,367.17
11450,444.99,371.63
11460,449.92,375.23
11470,454.48,379.22
11480,459.75,382.82
11490,465.30,386.55
11500,470.10,390.02
11510,475.24,393.20
11520,480.72,396.09
11530,486.01,398.73
11540,490.89,402.01
11550,495.55,405.35
11560,500.30,409.13
11570,504.52,412.89
11580,509.71,416.77
11590,514.75,420.76
11600,519.28,424.65
11610,524.87,428.12
11620,530.92,431.12
11630,536.47,434.06
11640,541.74,436.57
11650,546.95,439.83
11660,551.83,443.58
11670,555.92,447.55
11680,560.23,451.64
11690,564.87,455.73
11700,569.56,459.80
11710,575.12,463.95
11720,580.80,468.30
11730,585.21,472.45
11740,590.53,476.47
11750,596.32,481.32
11760,601.04,485.54
11770,605.45,489.82
11780,610.14,494.46
11790,614.83,498.21
11800,619.63,502.31
11810,625.06,506.01
11820,630.84,509.24
11830,637.00,511.67
11840,641.64,513.99
11850,646.96,516.47
11860,652.07,519.44
11870,656.74,522.78
11880,661.15,526.38
11890,666.00,530.03
11900,670.72,534.04
11910,675.31,538.03
11920,680.29,541.84
11930,685.58,545.81
11940,690.95,549.30
11950,696.14,552.66
11960,701.59,556.18
11970,706.57,559.76
11980,711.53,563.64
11990,715.47,567.45
12000,719.85,571.62
12010,724.78,575.77
12020,729.65,580.05
12030,734.87,584.61
12040,740.81,588.89
12050,746.58,592.77
12060,752.13,596.29
12070,757.63,600.07
12080,762.67,603.57
12090,766.92,606.80
12100,770.96,609.30
12110,775.32,611.73
12120,780.17,614.29
12130,785.69,616.87
12140,790.91,619.14
12150,796.23,621.93
12160,801.94,624.93
12170,806.84,627.79
12180,811.33,631.13
12190,815.68,633.74
12200,820.30,636.53
12210,825.83,639.76
12220,830.00,642.84
12230,834.82,645.94
12240,840.93,649.00
12250,845.80,652.91
12260,851.18,656.56
12270,857.09,660.50
12280,862.36,664.72
12290,867.37,668.45
12300,872.53,672.46
12310,876.78,676.04
12320,881.11,679.79
12330,885.96,683.39
12340,890.68,687.51
12350,895.90,691.68
12360,900.88,696.46
12370,906.46,700.68
12380,912.28,704.91
12390,917.57,709.05
12400,922.34,712.70
12410,926.93,715.96
12420,931.08,718.91
12430,935.30,722.04
12440,940.78,724.78
12450,946.10,727.59
12460,952.10,730.88
12470,958.17,734.27
12480,963.65,738.55
12490,968.32,742.38
